'234', 'Radeon Pro WX 4130', '用于移动工作站', '4.96', 'Polaris', '2017', '2000 USD', '50 W'
'235', 'Radeon RX 570X', '桌面', '4.94', 'GCN 4.0', '2018', '186 USD', '120 W'
'236', 'Radeon RX 640', '用于笔记本电脑', '4.84', 'Polaris', '2019', '193 USD', '50 W'
'237', 'Mobility Radeon HD 5870 Crossfire', '用于笔记本电脑', '4.83', 'Terascale 2', '2010', '56 USD', '120 W'
'238', 'Radeon R9 M385', '用于笔记本电脑', '4.76', 'GCN', '2015', '999 USD', '−'
'239', 'Radeon R9 M360', '桌面', '4.69', 'GCN 1.0', '2015', '1140 USD', '−'
'240', 'FirePro M6000', '用于移动工作站', '4.68', 'GCN', '2012', '162 USD', '43 W'
'241', 'Radeon PRO WX 2100', '用于移动工作站', '4.67', 'Polaris', '2018', '343 USD', '50 W'
'242', 'Radeon RX Vega 5', '用于笔记本电脑', '4.61', 'Vega', '2020', '287 USD', '15 W'
'243', 'Radeon R9 M375X', '桌面', '4.55', 'GCN 1.0', '2015', '448 USD', '−'
'244', 'Radeon RX Vega 8 (Ryzen 2000/3000)', '用于笔记本电脑', '4.46', 'Vega', '2017', '−', '15 W'
'245', 'Radeon HD 5830', '桌面', '4.45', 'TeraScale 2', '2010', '12 USD', '175 W'
'246', 'Radeon 550', '桌面', '4.43', 'GCN 4.0', '2017', '94 USD', '50 W'
'247', 'Radeon HD 5770', '桌面', '4.38', 'Terascale 2', '2009', '103 USD', '108 W'
'248', 'Radeon HD 7750', '桌面', '4.37', 'GCN 1.0', '2012', '108 USD', '55 W'
'249', 'Radeon Graphics (Ryzen 7000)', '用于笔记本电脑', '4.36', 'RDNA 2', '2022', '−', '−'
'250', 'Radeon E8860', '桌面', '4.33', 'GCN 1.0', '2014', '−', '37 W'
'251', 'Radeon R7 M380', '用于笔记本电脑', '4.29', 'GCN', '2015', '−', '−'
'252', 'Radeon R7 250E', '桌面', '4.27', 'GCN 1.0', '2013', '599 USD', '55 W'
'253', 'FirePro W600', '用于工作站', '4.27', 'GCN 1.0', '2012', '358 USD', '75 W'
'254', 'Radeon RX Vega 10', '用于笔记本电脑', '4.23', 'Vega', '2017', '449 USD', '15 W'
'255', 'Radeon HD 8870M', '用于笔记本电脑', '4.21', 'GCN', '2012', '338 USD', '−'
'256', 'Radeon R7 M465X', '桌面', '4.17', 'GCN 1.0', '2016', '−', '−'
'257', 'FirePro M4000', '用于移动工作站', '4.14', 'GCN', '2012', '433 USD', '33 W'
