排名, 显示卡, 类型, 性能, 架构, 出厂年份, 现在的价格, TDP
'851', 'GeForce GT 630', '桌面', '1.75', 'Fermi', '2012', '112 USD', '65 W'
'852', 'GeForce GTS 160M', '用于笔记本电脑', '1.74', 'G9x', '2009', '230 USD', '60 W'
'853', 'Quadro FX 4700 X2', '用于工作站', '1.74', 'Tesla', '2008', '−', '226 W'
'854', 'GeForce GT 640M LE', '用于笔记本电脑', '1.73', 'Fermi / Kepler', '2012', '310 USD', '32 W'
'855', 'Radeon R8 M535DX', '桌面', '1.72', 'GCN 3.0', '2017', '299 USD', '−'
'856', 'GeForce GT 740A', '桌面', '1.71', 'Kepler 2.0', '2013', '−', '33 W'
'857', 'GeForce GT 555M', '用于笔记本电脑', '1.71', 'Fermi', '2011', '310 USD', '35 W'
'858', 'Radeon R7 M340', '用于笔记本电脑', '1.70', 'GCN', '2015', '−', '−'
'859', 'GeForce GT 640 OEM', '桌面', '1.70', 'Kepler', '2012', '99 USD', '50 W'
'860', 'Radeon HD 2900 XT', '桌面', '1.69', 'TeraScale', '2007', '−', '215 W'
'861', 'GeForce GTS 360M', '用于笔记本电脑', '1.69', 'GT2xx', '2010', '230 USD', '38 W'
'862', 'GRID K1', '用于工作站', '1.67', 'Kepler', '2013', '317 USD', '130 W'
'863', 'GeForce GTX 285M', '用于笔记本电脑', '1.67', 'G9x', '2009', '111 USD', '75 W'
'864', 'FirePro V3900', '用于工作站', '1.67', 'TeraScale 2', '2012', '110 USD', '50 W'
'865', 'Radeon R5 M430', '用于笔记本电脑', '1.67', 'GCN', '2016', '749 USD', '−'
'866', 'FireStream 9170', '桌面', '1.66', 'TeraScale', '2007', '360 USD', '105 W'
'867', 'GeForce GT 630 OEM', '桌面', '1.65', 'Kepler', '2012', '429 USD', '50 W'
'868', 'GeForce 8800 Ultra', '桌面', '1.65', 'Tesla', '2007', '235 USD', '171 W'
'869', 'Radeon HD 7610M', '用于笔记本电脑', '1.62', 'Terascale 2', '2012', '338 USD', '20 W'
'870', 'Radeon R7 (Kaveri)', '用于笔记本电脑', '1.62', 'GCN 1.1', '2014', '135 USD', '−'
'871', 'NVS 5400M', '用于移动工作站', '1.62', 'Fermi', '2012', '381 USD', '35 W'
'872', 'GeForce GT 710', '桌面', '1.62', 'Kepler', '2014', '81 USD', '19 W'
