排名, 显示卡, 类型, 性能, 架构, 出厂年份, 现在的价格, TDP
'596', 'GeForce GTS 450 Rev. 2', '桌面', '4.37', 'Fermi 2.0', '2011', '−', '106 W'
'597', 'Radeon HD 7750', '桌面', '4.37', 'GCN 1.0', '2012', '108 USD', '55 W'
'598', 'GeForce GTX 760M', '用于笔记本电脑', '4.37', 'Kepler', '2013', '163 USD', '45 W'
'599', 'Radeon Graphics (Ryzen 7000)', '用于笔记本电脑', '4.36', 'RDNA 2', '2022', '−', '−'
'600', 'Radeon E8860', '桌面', '4.33', 'GCN 1.0', '2014', '−', '37 W'
'601', 'GeForce GT 750M Mac Edition', '桌面', '4.30', 'Kepler', '2013', '50 USD', '50 W'
'602', 'UHD Graphics Xe G4 48EUs', '用于笔记本电脑', '4.30', 'Gen. 11 Ice Lake', '2020', '−', '28 W'
'603', 'Radeon R7 M380', '用于笔记本电脑', '4.29', 'GCN', '2015', '−', '−'
'604', 'Radeon R7 250E', '桌面', '4.27', 'GCN 1.0', '2013', '599 USD', '55 W'
'605', 'FirePro W600', '用于工作站', '4.27', 'GCN 1.0', '2012', '358 USD', '75 W'
'606', 'GeForce GTX 460 768MB', '桌面', '4.26', 'Fermi', '−', '149 USD', '−'
'607', 'GeForce GT 755M', '用于笔记本电脑', '4.25', 'Kepler', '2013', '310 USD', '50 W'
'608', 'Radeon RX Vega 10', '用于笔记本电脑', '4.23', 'Vega', '2017', '449 USD', '15 W'
'609', 'Quadro K3000M', '用于移动工作站', '4.23', 'Kepler', '2012', '223 USD', '75 W'
'610', 'GRID M40', '用于工作站', '4.22', 'Maxwell', '2016', '484 USD', '50 W'
'611', 'Radeon HD 8870M', '用于笔记本电脑', '4.21', 'GCN', '2012', '338 USD', '−'
'612', 'GeForce GTX 285M SLI', '用于笔记本电脑', '4.19', 'G9x', '2009', '149 USD', '150 W'
'613', '_', 'Radeon R7 M465X', '桌面', '4.17', 'GCN 1.0', '2016', '−'
'614', 'GeForce GTX 480M', '用于笔记本电脑', '4.16', 'Fermi', '2010', '163 USD', '100 W'
'615', 'FirePro M4000', '用于移动工作站', '4.14', 'GCN', '2012', '433 USD', '33 W'
'616', 'Radeon HD 6790', '桌面', '4.11', 'Terascale 2', '2011', '184 USD', '150 W'
'617', 'Quadro P400', '用于工作站', '4.11', 'Pascal', '2017', '73 USD', '30 W'
'618', 'Iris Plus Graphics 655', '用于笔记本电脑', '4.09', 'Gen. 9.5 Kaby Lake', '2017', '999 USD', '15 W'
'619', 'Quadro K2000D', '用于工作站', '4.07', 'Kepler', '2013', '438 USD', '51 W'
'620', 'Oland', '桌面', '4.05', 'GCN 1.0', '−', '166 USD', '−'
'621', 'Quadro P500', '用于移动工作站', '4.05', 'Pascal', '2017', '300 USD', '18 W'
'622', 'UHD Graphics Xe 750 32EUs (Rocket Lake)', '桌面', '4.04', 'Gen. 12', '2021', '−', '−'
'623', 'Quadro K2000', '用于工作站', '4.03', 'Kepler', '2013', '550 USD', '51 W'
'624', 'Iris Plus Graphics G4 (Ice Lake 48 EU)', '用于笔记本电脑', '4.00', 'Gen. 11 Ice Lake', '2019', '−', '12 W'
'625', 'FirePro W4100', '用于工作站', '3.98', 'GCN', '2015', '916 USD', '50 W'
'626', 'Radeon R9 M275X', '桌面', '3.95', 'GCN 1.0', '2014', '10 USD', '−'
'627', 'GeForce GTX 550 Ti', '桌面', '3.95', 'Fermi', '2011', '197 USD', '116 W'
'628', 'Iris Plus Graphics 645', '用于笔记本电脑', '3.90', 'Gen. 9.5 Coffee Lake', '2019', '−', '15 W'
'629', 'GeForce GTX 285', '桌面', '3.89', 'Tesla 2.0', '2008', '98 USD', '204 W'
'630', 'Radeon HD 4890', '桌面', '3.89', 'TeraScale', '2009', '12 USD', '190 W'
'631', 'Radeon R9 M370X', '用于笔记本电脑', '3.88', 'GCN 1.0', '2015', '−', '−'
'632', 'GeForce 940MX', '用于笔记本电脑', '3.88', 'Maxwell', '2016', '950 USD', '15 W'
'633', 'Radeon HD 7870M', '用于笔记本电脑', '3.87', 'GCN', '2012', '338 USD', '45 W'
'634', 'GeForce 845M', '用于笔记本电脑', '3.87', 'Maxwell', '2014', '163 USD', '33 W'
'635', 'Iris Pro Graphics 6200', '用于笔记本电脑', '3.84', 'Gen. 8 Broadwell', '2015', '645 USD', '15 W'
'636', 'GeForce GT 740', '桌面', '3.83', 'Kepler', '2014', '279 USD', '64 W'
'637', 'Iris Plus Graphics 640', '用于笔记本电脑', '3.83', 'Gen. 9.5 Kaby Lake', '2017', '669 USD', '15 W'
'638', 'Radeon 550X', '桌面', '3.81', 'GCN 4.0', '2019', '468 USD', '50 W'
'639', 'Quadro 4000', '用于工作站', '3.81', 'Fermi', '2010', '295 USD', '142 W'
'640', 'Radeon R9 M365X', '用于笔记本电脑', '3.81', 'GCN', '2015', '−', '−'
'641', 'GeForce MX110', '用于笔记本电脑', '3.73', 'Maxwell', '2018', '1057 USD', '30 W'
'642', 'Maxwell GPU Surface Book', '用于笔记本电脑', '3.71', 'Maxwell', '2015', '−', '−'
'643', 'GeForce GTX 660M', '用于笔记本电脑', '3.71', 'Kepler', '2012', '276 USD', '50 W'
'644', 'Maxwell GPU Surface Book (940M, GDDR5)', '用于笔记本电脑', '3.70', 'Maxwell', '2015', '−', '−'
'645', 'Radeon 540X', '用于笔记本电脑', '3.68', 'GCN 4.0', '2019', '421 USD', '50 W'
'646', 'Radeon R7 M370', '用于笔记本电脑', '3.64', 'GCN', '2015', '875 USD', '−'
'647', 'GeForce GTX 275', '桌面', '3.64', 'Tesla 2.0', '2009', '82 USD', '219 W'
'648', 'FirePro V5800', '用于工作站', '3.64', 'TeraScale 2', '2010', '354 USD', '74 W'
'649', 'Radeon HD 4870', '桌面', '3.59', 'TeraScale', '2008', '162 USD', '150 W'
'650', 'FirePro W5130M', '用于移动工作站', '3.59', 'GCN', '2015', '1041 USD', '−'
'651', 'Radeon HD 7850M', '用于笔记本电脑', '3.53', 'GCN', '2012', '338 USD', '32 W'
'652', 'Radeon HD 6950M', '用于笔记本电脑', '3.52', 'Terascale 2', '2011', '338 USD', '50 W'
'653', 'Quadro K2100M', '用于移动工作站', '3.50', 'Kepler', '2013', '208 USD', '55 W'
'654', 'Radeon HD 7770M', '用于笔记本电脑', '3.49', 'GCN', '2012', '338 USD', '32 W'
'655', 'Radeon 540', '桌面', '3.47', 'GCN 4.0', '2019', '1233 USD', '50 W'
'656', 'GeForce GT 640 Rev. 2', '桌面', '3.47', 'Kepler 2.0', '2013', '230 USD', '49 W'
'657', 'Iris Graphics 550', '用于笔记本电脑', '3.46', 'Gen. 9 Skylake', '2015', '−', '15 W'
'658', 'FireStream 9270', '桌面', '3.45', 'TeraScale', '2008', '−', '160 W'
'659', 'GeForce 930A', '桌面', '3.41', 'Maxwell', '2015', '350 USD', '33 W'
'660', 'Quadro 4000M', '用于移动工作站', '3.38', 'Fermi', '2011', '118 USD', '100 W'
'661', 'FirePro M5950', '用于移动工作站', '3.38', 'Terascale 2', '2011', '386 USD', '35 W'
'662', 'GeForce GTS 450', '桌面', '3.37', 'Fermi', '2010', '127 USD', '106 W'
'663', 'GeForce GT 750M', '用于笔记本电脑', '3.37', 'Kepler', '2013', '1119 USD', '35 W'
'664', 'Radeon HD 4870 X2', '桌面', '3.36', 'TeraScale', '2008', '202 USD', '286 W'
'665', 'Radeon HD 8790M', '用于笔记本电脑', '3.35', 'GCN', '2012', '460 USD', '−'
'666', 'Tesla M2070-Q', '用于工作站', '3.35', 'Fermi', '2011', '−', '225 W'
'667', 'Radeon R7 M275DX', '用于笔记本电脑', '3.35', 'GCN', '2014', '−', '−'
'668', 'GeForce GTX 775M Mac Edition', '桌面', '3.34', 'Kepler', '2013', '149 USD', '100 W'
'669', 'GeForce 930MX', '用于笔记本电脑', '3.33', 'Maxwell', '2016', '1808 USD', '15 W'
'670', 'GeForce GTX 660 OEM', '桌面', '3.33', 'Kepler', '2012', '481 USD', '130 W'
'671', 'Cayman', '桌面', '3.31', 'TeraScale 3', '−', '15 USD', '−'
'672', 'GeForce GTX 280M SLI', '用于笔记本电脑', '3.28', 'G9x', '2009', '149 USD', '150 W'
'673', 'GeForce GTX 280', '桌面', '3.28', 'Tesla 2.0', '2008', '159 USD', '236 W'
'674', 'FirePro V5900', '用于工作站', '3.26', 'TeraScale 3', '2011', '89 USD', '75 W'
'675', 'Radeon 630', '用于笔记本电脑', '3.20', 'GCN 1.0', '2019', '65 USD', '50 W'
'676', 'Radeon HD 6770', '桌面', '3.19', 'TeraScale 2', '2011', '150 USD', '108 W'
'677', 'GeForce GTX 460M', '用于笔记本电脑', '3.16', 'Fermi', '2010', '88 USD', '50 W'
'678', 'GeForce GTX 260', '桌面', '3.16', 'Tesla 2.0', '2008', '49 USD', '182 W'
'679', 'GeForce GTX 760A', '桌面', '3.15', 'Kepler', '2014', '−', '55 W'
'680', 'GeForce GTX 560M', '用于笔记本电脑', '3.14', 'Fermi', '2011', '1198 USD', '75 W'
'681', 'Mobility Radeon HD 4870 X2', '用于笔记本电脑', '3.13', 'Terascale 1', '2009', '305 USD', '−'
'682', 'Quadro FX 5800', '用于工作站', '3.13', 'Tesla 2.0', '2008', '157 USD', '189 W'
'683', 'GeForce GTX 260M SLI', '用于笔记本电脑', '3.11', 'G9x', '2009', '149 USD', '150 W'
'684', 'Radeon HD 7730', '桌面', '3.10', 'GCN 1.0', '2013', '207 USD', '47 W'
'685', 'GeForce GT 650M', '用于笔记本电脑', '3.10', 'Kepler', '2012', '679 USD', '45 W'
'686', 'Radeon R7 512 Cores (Kaveri Desktop)', '桌面', '3.10', 'GCN', '2014', '−', '−'
'687', 'Radeon R9 M270X', '桌面', '3.09', 'GCN 1.0', '2014', '−', '−'
'688', 'GeForce GT 745A', '桌面', '3.09', 'Kepler', '2013', '530 USD', '33 W'
'689', 'HD Graphics P630', '桌面', '3.08', 'Gen. 9.5 Kaby Lake', '2016', '1449 USD', '15 W'
'690', 'HD Graphics 630', '桌面', '3.08', 'Gen. 9.5 Kaby Lake', '2017', '370 USD', '15 W'
'691', 'GeForce 9800M GTX SLI', '用于笔记本电脑', '3.07', 'G9x', '2008', '149 USD', '150 W'
'692', 'UHD Graphics 630', '桌面', '3.06', 'Gen. 9.5', '2017', '457 USD', '15 W'
'693', 'Radeon HD 7750M', '用于笔记本电脑', '3.06', 'GCN', '2012', '338 USD', '36 W'
'694', 'GRID K340', '用于工作站', '3.06', 'Kepler', '2013', '99 USD', '225 W'
'695', 'GeForce GTX 295', '桌面', '3.05', 'Tesla 2.0', '2009', '200 USD', '289 W'
'696', 'Hainan', '桌面', '3.04', 'Sea Islands', '−', '23 USD', '−'
'697', 'UHD Graphics G1 (Ice Lake 32 EU)', '用于笔记本电脑', '3.03', 'Gen. 11 Ice Lake', '2019', '−', '12 W'
'698', 'GeForce 840A', '桌面', '3.03', 'Maxwell', '2014', '−', '33 W'
'699', 'GeForce GT 640', '桌面', '3.03', 'Kepler', '2012', '157 USD', '65 W'
'700', 'Radeon RX Vega 6 (Ryzen 2000/3000)', '用于笔记本电脑', '3.01', 'Vega', '2018', '−', '15 W'
'701', 'FirePro W4190M', '用于移动工作站', '3.01', 'GCN', '2015', '4205 USD', '−'
'702', 'GeForce GTX 460 OEM', '桌面', '3.00', 'Fermi', '2010', '99 USD', '150 W'
'703', 'Quadro M500M', '用于移动工作站', '3.00', 'Maxwell', '2015', '775 USD', '30 W'
'704', 'FireStream 9250', '桌面', '2.99', 'TeraScale', '2008', '−', '150 W'
'705', 'Quadro K620M', '用于移动工作站', '2.99', 'Maxwell', '2015', '−', '30 W'
'706', 'Radeon HD 5750', '桌面', '2.98', 'TeraScale 2', '2009', '189 USD', '86 W'
'707', 'NVS 810', '用于工作站', '2.98', 'Maxwell', '2015', '848 USD', '68 W'
'708', 'Iris Graphics 540', '用于笔记本电脑', '2.97', 'Gen. 9 Skylake', '2015', '1043 USD', '15 W'
'709', 'Radeon R7 M465', '用于笔记本电脑', '2.96', 'GCN', '2017', '−', '−'
'710', 'Radeon RX Vega 3', '用于笔记本电脑', '2.95', 'Vega', '2018', '371 USD', '15 W'
'711', 'Mobility Radeon HD 5870', '用于笔记本电脑', '2.93', 'Terascale 2', '2010', '108 USD', '50 W'
'712', 'GeForce 830A', '桌面', '2.92', 'Maxwell', '2014', '−', '33 W'
'713', 'Radeon HD 4850 X2', '桌面', '2.91', 'TeraScale', '2008', '−', '250 W'
'714', 'Iris Pro Graphics 5200', '用于笔记本电脑', '2.90', 'Gen. 7.5 Haswell', '2013', '1086 USD', '30 W'
'715', 'Radeon HD 8770M', '用于笔记本电脑', '2.90', 'GCN', '2012', '338 USD', '−'
'716', 'FirePro M4170', '用于工作站', '2.88', 'GCN 1.0', '2015', '474 USD', '−'
'717', 'GeForce 940M', '用于笔记本电脑', '2.87', 'Maxwell', '2015', '879 USD', '25 W'
'718', 'Radeon R7 M460', '用于笔记本电脑', '2.87', 'GCN', '2016', '900 USD', '−'
'719', 'Radeon 625', '用于笔记本电脑', '2.87', 'GCN 1.0', '2019', '68 USD', '50 W'
'720', 'Radeon R9 M275', '用于笔记本电脑', '2.86', 'GCN', '2014', '912 USD', '−'
'721', 'Radeon 610M', '用于笔记本电脑', '2.86', 'RDNA 2', '2022', '−', '15 W'
'722', 'Radeon R9 M265X', '用于笔记本电脑', '2.86', 'GCN', '2014', '−', '−'
'723', 'GeForce 940A', '桌面', '2.84', 'Maxwell', '2015', '−', '33 W'
'724', 'GeForce GT 545', '桌面', '2.83', 'Fermi 2.0', '2011', '195 USD', '70 W'
'725', 'Radeon R6 M340DX', '用于笔记本电脑', '2.83', 'GCN', '2015', '−', '−'
'726', 'GeForce GT 745M', '用于笔记本电脑', '2.82', 'Kepler', '2013', '55 USD', '25 W'
'727', 'Radeon R7 M350', '桌面', '2.82', 'GCN 3.0', '2015', '−', '35 W'
'728', 'Radeon R7 250', '桌面', '2.79', 'GCN', '2013', '256 USD', '65 W'
'729', 'GeForce 920MX', '用于笔记本电脑', '2.79', 'Maxwell', '2015', '1597 USD', '16 W'
'730', 'Quadro K1100M', '用于移动工作站', '2.79', 'Kepler', '2013', '350 USD', '45 W'
'731', 'GeForce 840M', '用于笔记本电脑', '2.78', 'Maxwell', '2014', '743 USD', '33 W'
'732', 'HD Graphics P530', '用于笔记本电脑', '2.76', 'Gen. 9 Skylake', '2015', '895 USD', '15 W'
'733', 'Qualcomm Adreno 680', '用于笔记本电脑', '2.73', '2018', '−', '7 W', '_'
'734', 'FirePro M4100', '用于移动工作站', '2.72', 'GCN', '2013', '−', '−'
'735', 'Radeon R7 384 Cores (Kaveri Desktop)', '桌面', '2.71', 'GCN', '2014', '−', '−'
'736', 'Radeon HD 7670A', '桌面', '2.70', 'TeraScale 2', '2012', '−', '45 W'
'737', 'GeForce GTX 850A', '桌面', '2.70', 'Maxwell', '2014', '−', '45 W'
'738', 'Qualcomm Adreno 685', '用于笔记本电脑', '2.66', '2018', '1429 USD', '7 W', '_'
'739', 'FirePro W4170M', '用于移动工作站', '2.66', 'GCN', '2012', '495 USD', '−'
'740', 'Radeon R5 430 OEM', '桌面', '2.65', 'GCN 1.0', '2016', '−', '50 W'
'741', 'Radeon HD 6750', '桌面', '2.65', 'TeraScale 2', '2011', '161 USD', '86 W'
'742', 'UHD Graphics 620', '用于笔记本电脑', '2.65', 'Gen. 9.5', '2017', '706 USD', '15 W'
'743', 'Radeon HD 4850', '桌面', '2.64', 'Terascale 1', '2008', '138 USD', '110 W'
'744', 'Radeon R9 A375', '桌面', '2.63', 'GCN 1.0', '2015', '−', '−'
'745', 'Quadro K2000M', '用于移动工作站', '2.61', 'Kepler', '2012', '92 USD', '55 W'
'746', 'Quadro 3000M', '用于移动工作站', '2.61', 'Fermi', '2011', '447 USD', '75 W'
'747', 'GeForce 930M', '用于笔记本电脑', '2.60', 'Maxwell', '2015', '160 USD', '12 W'
'748', 'Radeon HD 8550G + HD 8750M Dual Graphics', '用于笔记本电脑', '2.59', '2013', '105 USD', '−', '_'
'749', 'Radeon R7 M260X', '用于笔记本电脑', '2.59', 'GCN', '2014', '−', '−'
'750', 'Radeon HD 7690M XT', '用于笔记本电脑', '2.59', 'Terascale 2', '2011', '180 USD', '25 W'
'751', 'GeForce 830M', '用于笔记本电脑', '2.59', 'Maxwell', '2014', '160 USD', '33 W'
'752', 'Radeon 530', '用于笔记本电脑', '2.58', 'GCN', '2017', '627 USD', '50 W'
'753', 'Radeon HD 7690M', '用于笔记本电脑', '2.58', 'Terascale 2', '2011', '338 USD', '20 W'
'754', 'HD Graphics 530', '用于笔记本电脑', '2.57', 'Gen. 9 Skylake', '2015', '526 USD', '15 W'
'755', 'Radeon R7 A265', '桌面', '2.55', 'GCN 1.0', '2014', '324 USD', '−'
'756', 'Quadro FX 4800', '用于工作站', '2.55', 'Tesla 2.0', '2008', '632 USD', '150 W'
'757', 'Radeon HD 8690M', '用于笔记本电脑', '2.53', 'GCN', '2012', '596 USD', '−'
'758', 'Quadro 2000D', '用于工作站', '2.52', 'Fermi', '2011', '151 USD', '62 W'
'759', 'FirePro V4900', '用于工作站', '2.51', 'TeraScale 2', '2011', '155 USD', '75 W'
'760', 'Radeon HD 8850M', '用于笔记本电脑', '2.50', 'GCN', '2012', '338 USD', '−'
'761', 'UHD Graphics G7 (Lakefield GT2 64 EU)', '用于笔记本电脑', '2.50', 'Gen. 11 Ice Lake', '2020', '−', '7 W'
'762', 'Radeon HD 6770M', '用于笔记本电脑', '2.48', 'Terascale 2', '2011', '243 USD', '35 W'
'763', 'Radeon R7 M270DX', '桌面', '2.47', 'GCN 3.0', '2014', '−', '−'
'764', 'Radeon HD 8750M', '用于笔记本电脑', '2.46', 'GCN', '2012', '338 USD', '−'
'765', 'Radeon HD 8650G + HD 8670M Dual Graphics', '用于笔记本电脑', '2.46', '2013', '90 USD', '−', '_'
'766', 'Quadro CX', '用于工作站', '2.43', 'Tesla 2.0', '2008', '18 USD', '150 W'
'767', 'Quadro 2000', '用于工作站', '2.42', 'Fermi', '2010', '141 USD', '62 W'
'768', 'Radeon R7 M445', '用于笔记本电脑', '2.42', 'GCN', '2016', '809 USD', '15 W'
'769', 'Radeon R9 M375', '用于笔记本电脑', '2.42', 'GCN', '2015', '1699 USD', '−'
'770', 'Radeon HD 6750M', '用于笔记本电脑', '2.41', 'Terascale 2', '2011', '506 USD', '35 W'
'771', 'HD Graphics 620', '用于笔记本电脑', '2.40', 'Gen. 9.5 Kaby Lake', '2016', '353 USD', '15 W'
'772', 'FirePro M4150', '用于工作站', '2.39', 'GCN 1.0', '2013', '170 USD', '−'
'773', 'Radeon R5 (Bristol Ridge)', '用于笔记本电脑', '2.38', 'GCN 1.2/2.0', '2016', '53 USD', '12 W'
'774', 'GeForce GT 645M', '用于笔记本电脑', '2.37', 'Kepler', '2012', '310 USD', '32 W'
'775', 'GeForce GT 640M', '用于笔记本电脑', '2.35', 'Kepler', '2012', '310 USD', '32 W'
'776', 'GRID K220Q', '用于工作站', '2.34', 'Kepler', '2014', '−', '225 W'
'777', 'FirePro W2100', '用于工作站', '2.32', 'GCN', '2015', '123 USD', '26 W'
'778', 'Radeon 620', '用于笔记本电脑', '2.31', 'GCN 1.0', '2019', '67 USD', '50 W'
'779', 'Radeon R7 M440', '用于笔记本电脑', '2.30', 'GCN 1.0', '2016', '737 USD', '−'
'780', 'Radeon HD 4770', '桌面', '2.28', 'TeraScale', '2009', '182 USD', '80 W'
'781', 'Radeon R7 240', '桌面', '2.28', 'GCN 1.0', '2013', '109 USD', '30 W'
'782', 'Radeon E6760', '桌面', '2.25', 'TeraScale 2', '2011', '90 USD', '45 W'
'783', 'GeForce 920A', '桌面', '2.18', 'Kepler 2.0', '2015', '179 USD', '33 W'
'784', 'HD Graphics 6000', '用于笔记本电脑', '2.18', 'Gen. 8 Broadwell', '2015', '286 USD', '15 W'
'785', 'UHD Graphics Xe 16EUs (Tiger Lake-H)', '用于笔记本电脑', '2.17', 'Gen. 12', '2021', '−', '−'
'786', 'Mobility Radeon HD 3870 X2', '用于笔记本电脑', '2.16', 'RV6xx', '2008', '−', '110 W'
'787', 'Radeon HD 4830', '桌面', '2.15', 'TeraScale', '2008', '31 USD', '95 W'
'788', 'Radeon HD 6650A', '桌面', '2.15', 'TeraScale 2', '2011', '−', '45 W'
'789', 'UHD Graphics (Jasper Lake 24 EU)', '用于笔记本电脑', '2.14', 'Gen. 11', '2021', '−', '4.8 W'
'790', 'HD Graphics 520', '用于笔记本电脑', '2.14', 'Gen. 9 Skylake', '2015', '309 USD', '15 W'
'791', 'GeForce GT 755M Mac Edition', '桌面', '2.13', 'Kepler', '2013', '50 USD', '50 W'
'792', 'GeForce GT 730', '桌面', '2.13', 'Fermi', '2014', '77 USD', '49 W'
'793', 'Radeon HD 3850 X2', '桌面', '2.11', 'TeraScale', '2008', '−', '140 W'
'794', 'Radeon R7 M260DX', '桌面', '2.10', 'GCN 1.0', '2014', '−', '−'
'795', 'GeForce GT 730M', '用于笔记本电脑', '2.09', 'Kepler', '2013', '1000 USD', '33 W'
'796', 'Radeon R9 M280X', '用于笔记本电脑', '2.09', 'GCN', '2015', '−', '−'
'797', 'GeForce GT 445M', '用于笔记本电脑', '2.08', 'Fermi', '2010', '310 USD', '35 W'
'798', 'Radeon R5 M435', '桌面', '2.06', 'GCN 1.0', '2016', '120 USD', '−'
'799', 'Quadro FX 3800', '用于工作站', '2.05', 'Tesla 2.0', '2009', '171 USD', '108 W'
'800', 'GeForce 9800 GX2', '桌面', '2.05', 'Tesla', '2008', '140 USD', '197 W'
'801', 'Radeon R8 M445DX', '用于笔记本电脑', '2.04', 'GCN', '2016', '550 USD', '−'
'802', 'Mobility Radeon HD 4870', '用于笔记本电脑', '2.04', 'Terascale 1', '2009', '305 USD', '−'
'803', 'FirePro M7740', '用于移动工作站', '2.04', 'Terascale 1', '2009', '255 USD', '60 W'
